Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       30-07-21
Time:       15:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                                                                                   Layer       Footprint Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                  
R25        R2                                                                                        TopLayer    AP3-00104 37.6250      88.7410      270      "Chip Resistor 0R,0805,1% 1/8W"                                                                                                                                                              
C2         ""                                                                                        TopLayer    AP1-00039 41.5259      93.5765      270      "Ceramic capacitor, SMD 0603, X5R, 16V, 10UF ± 20% (High Density)"                                                                                                                           
C5         ""                                                                                        TopLayer    AP1-00039 38.0271      91.5260      0        "Ceramic capacitor, SMD 0603, X5R, 16V, 10UF ± 20% (High Density)"                                                                                                                           
R23        ""                                                                                        TopLayer    AP2-00011 36.2115      93.1837      270      "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                                   
L1         ""                                                                                        TopLayer    AP3-00165 41.4044      90.5263      180      "2.2uH, 2.6A shielded SMD power inductor"                                                                                                                                                    
U4         ""                                                                                        TopLayer    AP6-00560 38.7700      94.0000      0        "Low Iq boost converter with programmable low battery, UVLO, and automatic input-to-output bypass operation"                                                                                 
L2         ""                                                                                        TopLayer    AP3-00104 43.1366      94.9626      270      FerriteBead,220ohm@100MHz,2000mA,0.045ohm                                                                                                                                                    
R24        ""                                                                                        TopLayer    AP2-00011 36.2347      95.1517      270      "Thick film resistror, SMD 0402, 1/16W, 1%"                                                                                                                                                  
J18        "Supplied with pick and place tab"                                                        TopLayer    AP8-01199 26.6700      65.4050      270      "1X28 Receptacle Pin Socket 2.54mm pitch THM with pick and place TAB"                                                                                                                        
J17        "Supplied with pick and place tab"                                                        TopLayer    AP8-01199 11.4300      65.4050      270      "1X28 Receptacle Pin Socket 2.54mm pitch THM with pick and place TAB"                                                                                                                        
J14        ""                                                                                        TopLayer    AP8-01074 25.8700      2.0250       180      "1x2 pin header, 2.54mm pitch, Pin-in-Paste THM"                                                                                                                                             
J15        ""                                                                                        TopLayer    AP8-01074 12.1700      2.0000       180      "1x2 pin header, 2.54mm pitch, Pin-in-Paste THM"                                                                                                                                             
J16        ""                                                                                        TopLayer    AP8-01074 35.5250      104.7750     180      "1x2 pin header, 2.54mm pitch, Pin-in-Paste THM"                                                                                                                                             
R22        ""                                                                                        TopLayer    AP2-00000 16.7000      1.9500       0        "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                                   
J13        ""                                                                                        TopLayer    AP9-00043 52.2122      105.7300     0        "Default open SMD strap, 0603 size"                                                                                                                                                          
D4         "Farnell no. 1652078"                                                                     TopLayer    AP4-00017 20.4250      1.9500       180      "LED, Green, 570nm, SMD 0603"                                                                                                                                                                
E4         ""                                                                                        BottomLayer AP8-00192 -57.3050     -95.5650     180      "2.8mm adhesive feet,diam 8.0mm"                                                                                                                                                             
E3         ""                                                                                        BottomLayer AP8-00192 -57.3050     -95.5650     180      "2.8mm adhesive feet,diam 8.0mm"                                                                                                                                                             
E2         ""                                                                                        BottomLayer AP8-00192 -57.3050     -95.5650     180      "2.8mm adhesive feet,diam 8.0mm"                                                                                                                                                             
E1         ""                                                                                        BottomLayer AP8-00192 -57.3050     -95.5650     180      "2.8mm adhesive feet,diam 8.0mm"                                                                                                                                                             
R21        ""                                                                                        TopLayer    AP2-00000 50.9270      96.1040      90       "Thick film resistor, SMD 0402, 1/16W, 1%"                                                                                                                                                   
C8         ""                                                                                        TopLayer    AP1-00039 70.8000      87.4000      180      "Ceramic capacitor, SMD 0603, X5R, 16V, 10UF ± 20% (High Density)"                                                                                                                           
R20        "Removed Schematic Option RES2 cause was not able to place on Altium 20
Original R2,RES2" TopLayer    AP2-00001 62.0000      96.3295      0        "Thick film resistor, SMD 0603, 1/10W, 1%"                                                                                                                                                   
SW1        ""                                                                                        TopLayer    AP8-00684 63.1614      102.9530     180      "Slide Switch, C&K, 2 Pos 2 Pol, SMD"                                                                                                                                                        
J10        ""                                                                                        TopLayer    AP9-00043 52.0700      102.2350     0        "Default open SMD strap, 0603 size"                                                                                                                                                          
U5         ""                                                                                        TopLayer    AP6-00528 69.3674      82.3214      270      "3.3V Fixed, 4MHz, 600mA, Buck regulator with internal inductor with HyperLight Load"                                                                                                        
U3         ""                                                                                        TopLayer    AP8-01154 19.0500      67.9450      0        "56-pin Header HOST (for CNANO solder mounting)"                                                                                                                                             
C3         "Generic part, no manufacturer specified."                                                TopLayer    AP1-00069 57.7850      89.9541      270      "Ceramic capacitor, SMD 0805, X7R, 16V, 10%,"                                                                                                                                                
